"simnumber","sws.ol1","hapc.ol1","sws.ol2","hapc.ol2","sws.s","hapc.s","sws.d","hapc.d","bf.i05","bf.i01","bf.i001","r.w","r.r2","w.r2","p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
56,0.473118279569892,0.473118279569892,0.801075268817204,0.725806451612903,0.854838709677419,0.682795698924731,0.0799173916692349,0.0167521387621595," ","**","***",NA,0.999300848595385,1.26068412344362,5,3,"ar1","randomwalk",0.2,NA,0.1,NA,1,53.7853049969774,54.0160728543489,0.488372093023256,0.0970873786407767,1,54.201836502557,0.845326463813417
57,0.483870967741935,0.688172043010753,0.89247311827957,0.854838709677419,0.795698924731183,0.768817204301075,-0.0451077667637594,0.00769262519061811," "," ","***",NA,1.01165916038628,1.28450837510209,10,3,"ar1","randomwalk",0.2,NA,0.1,NA,1,80.1190179958311,80.1745413462245,0.534883720930233,0.106796116504854,1,80.4169047435385,0.785569291888478
58,0.338709677419355,0.736559139784946,0.521505376344086,0.897849462365591,0.790322580645161,0.741935483870968,-0.03111842610129,0.00741190609754007,"***","***","***",NA,1.00222998737554,1.2905698309345,3,5,"ar1","randomwalk",0.2,NA,0.1,NA,1,6.32073425314714,6.32546461650379,0.744186046511628,0.446601941747573,1,6.42616787064978,0.746321852325971
59,0.252688172043011,0.365591397849462,0.5,0.483870967741935,0.736559139784946,0.596774193548387,-0.00315176949475321,0.0297688256182768,"***","***","***",NA,0.998451726419999,1.29056983093442,5,5,"ar1","randomwalk",0.2,NA,0.1,NA,0.967741935483871,21.0777390483037,20.9643636024698,0.651162790697674,0.592233009708738,0.989247311827957,21.0655196914328,0.635103671656627
60,0.424731182795699,0.327956989247312,0.564516129032258,0.440860215053763,0.849462365591398,0.672043010752688,-0.0954153412250646,-0.0388353480468703,"***","***","***",NA,1.03779298365647,1.28844240802317,10,5,"ar1","randomwalk",0.2,NA,0.1,NA,0.989247311827957,15.0555745791953,15.0262252520628,0.581395348837209,0.252427184466019,0.994623655913978,15.0721398083769,1.00931252319656
61,0.32258064516129,0.661290322580645,0.451612903225806,0.844086021505376,0.602150537634409,0.725806451612903,0.00393677180019282,-0.0224188612832064,"***","***","***",NA,1.02207416078174,1.28722353574031,3,10,"ar1","randomwalk",0.2,NA,0.1,NA,1,13.469255473977,13.4331501951902,0.488372093023256,0.213592233009709,1,13.514925064355,1.0648103598464
62,0.279569892473118,0.311827956989247,0.349462365591398,0.381720430107527,0.838709677419355,0.720430107526882,-0.0829191282581782,-0.00472018304447399," "," "," ",NA,1.01330010089603,1.29056935721483,5,10,"ar1","randomwalk",0.2,NA,0.1,NA,0.876344086021505,69.7381629567977,69.5994423229511,0.720930232558139,0.466019417475728,1,69.6399365261054,0.749924573126446
63,0.28494623655914,0.559139784946237,0.43010752688172,0.752688172043011,0.67741935483871,0.672043010752688,0.0892006672704008,0.037956932589347,"***","***","***",NA,1.04526603812328,1.28130240722776,10,10,"ar1","randomwalk",0.2,NA,0.1,NA,1,5.35980931962181,5.34655881868398,0.581395348837209,0.223300970873786,1,5.38982069868216,0.87329583815248
64,0.397849462365591,0.71505376344086,0.682795698924731,0.838709677419355,0.89247311827957,0.801075268817204,-0.0210266141631973,-0.00109613975427485,"***","***","***",NA,1.04094167160391,1.29070238580713,3,3,"random","randomwalk",NA,NA,0.1,NA,1,1.45197863799966,1.44404833650096,0.581395348837209,0.466019417475728,0.994623655913978,1.46088614182245,0.772868825007004
65,0.279569892473118,0.639784946236559,0.5,0.865591397849462,0.682795698924731,0.763440860215054,0.0280326454595791,0.000320161190076674,"***","***","***",NA,1.02932952845406,1.2808471965248,5,3,"random","randomwalk",NA,NA,0.1,NA,0.908602150537634,91.1835505331717,90.8575363424953,0.627906976744186,0.533980582524272,1,92.5684812594761,0.687978522516482
66,0.290322580645161,0.612903225806452,0.537634408602151,0.78494623655914,0.736559139784946,0.741935483870968,-0.0358592757251798,-0.00825030599661986," "," "," ",NA,1.01738941914571,1.14558679763854,10,3,"random","randomwalk",NA,NA,0.1,NA,1,29.7938184208493,29.8755893787529,0.441860465116279,0.0485436893203883,1,29.9445141838258,0.614359166787081
67,0.333333333333333,0.752688172043011,0.521505376344086,0.881720430107527,0.774193548387097,0.811827956989247,0.0142210535600804,-0.00151635341081613,"***","***","***",NA,1.01203328333161,1.29056983091738,3,5,"random","randomwalk",NA,NA,0.1,NA,1,47.7685172924382,47.7208353182137,0.511627906976744,0.543689320388349,0.978494623655914,48.2005111477595,0.776961579607212
68,0.564516129032258,0.763440860215054,0.956989247311828,0.854838709677419,0.89247311827957,0.801075268817204,0.0206341412307112,0.022094636847897," "," "," ",NA,1.00729428380534,1.29171352250756,5,5,"random","randomwalk",NA,NA,0.1,NA,1,104.659268319329,104.421893382551,0.558139534883721,0.213592233009709,1,104.62164464147,0.545951618063315
69,0.435483870967742,0.543010752688172,0.774193548387097,0.709677419354839,0.93010752688172,0.655913978494624,-0.034399268227135,-0.0563870413729377,"***","***","***",NA,1.04777932791111,1.28270629010265,10,5,"random","randomwalk",NA,NA,0.1,NA,1,86.7607880633648,86.4531191269245,0.465116279069767,0.0388349514563107,1,87.3072436552211,0.685785351044962
70,0.370967741935484,0.564516129032258,0.548387096774194,0.940860215053763,0.698924731182796,0.768817204301075,-0.0064557701271337,0.0175833014391155,"***","***","***",NA,0.99981339057165,1.29056982281145,3,10,"random","randomwalk",NA,NA,0.1,NA,1,86.3224977664265,86.2260606256819,0.534883720930233,0.475728155339806,1,87.3612369924142,0.596136930046563
71,0.327956989247312,0.478494623655914,0.505376344086022,0.596774193548387,0.795698924731183,0.67741935483871,-0.0869236085399574,-0.0423930616422984,"***","***","***",NA,1.00571227119271,1.29056947996567,5,10,"random","randomwalk",NA,NA,0.1,NA,1,85.546520505322,85.4391945551199,0.790697674418605,0.466019417475728,1,86.5757654467559,0.679905393063028
72,0.43010752688172,0.720430107526882,0.688172043010753,0.774193548387097,0.811827956989247,0.720430107526882,-0.0350126611746613,-0.0553210763320501,"***","***","***",NA,1.04418788521684,1.29056983093165,10,10,"random","randomwalk",NA,NA,0.1,NA,0.935483870967742,69.337461745626,69.2596825173295,0.674418604651163,0.456310679611651,1,69.5498703545863,0.615259879778519
